,Player,INT,INT TD,INT Yds,Lng
0,Minkah Fitzpatrick,6,1,94,34
1,Chauncey Gardner-Johnson,6,0,54,25
2,Justin Simmons,6,0,51,23
3,Tariq Woolen,6,1,47,40
4,Jaire Alexander,5,0,59,29
5,DaRon Bland,5,0,19,15
6,Tashaun Gipson,5,0,141,56
7,Patrick Peterson,5,0,92,39
8,Jalen Pitre,5,0,57,29
9,Harrison Smith,5,0,58,35
10,Jessie Bates,4,0,28,16
11,Vonn Bell,4,0,56,46
12,Kevin Byard,4,0,57,28
13,Grant Delpit,4,0,36,40
14,Quandre Diggs,4,0,70,27
15,Rasul Douglas,4,0,26,22
16,Darrick Forrest,4,0,1,1
17,Talanoa Hufanga,4,1,61,52
18,Eddie Jackson,4,0,44,26
19,Jonathan Jones,4,1,89,55
20,Kerby Joseph,4,0,70,38
21,Devin McCourty,4,0,66,36
22,Jordan Poyer,4,0,6,6
23,Jalen Ramsey,4,0,53,28
24,Rodney Thomas,4,0,51,35
0,Levi Wallace,4,0,6,3
1,Marcus Williams,4,0,33,33
2,James Bradberry,3,1,54,27
3,Bryce Callahan,3,1,37,26
4,Tyson Campbell,3,0,32,29
5,Andre Cisco,3,1,72,59
6,Trevon Diggs,3,0,10,7
7,Kyle Dugger,3,2,55,39
8,Cobie Durant,3,1,151,85
9,Rudy Ford,3,0,87,34
10,Kendall Fuller,3,2,66,37
11,Kyler Gordon,3,0,78,42
12,Malik Hooker,3,0,29,26
13,Jaycee Horn,3,0,49,31
14,Marlon Humphrey,3,0,26,26
15,Aidan Hutchinson,3,0,25,20
16,Rayshawn Jenkins,3,1,64,52
17,Lamarcus Joyner,3,0,31,27
18,Devin Lloyd,3,0,42,19
19,Tyrann Mathieu,3,0,44,41
20,Matt Milano,3,1,84,43
21,Darius Slay,3,0,17,19
22,Roquan Smith,3,0,41,19
23,L'Jarius Sneed,3,0,57,26
24,Cameron Sutton,3,0,26,26
0,Juan Thornhill,3,0,0,0
1,Denzel Ward,3,0,0,0
2,Jimmie Ward,3,0,0,0
3,Marco Wilson,3,1,77,39
4,Nasir Adderley,2,0,30,30
5,Budda Baker,2,0,54,53
6,Cody Barton,2,0,11,10
7,Dane Belton,2,0,0,0
8,Nick Bolton,2,0,15,15
9,Sean Murphy-Bunting,2,0,33,33
10,Camryn Bynum,2,0,17,12
11,De'Vondre Campbell,2,1,77,63
12,Michael Carter II,2,0,0,0
13,Jamel Dean,2,0,24,24
14,Mike Edwards,2,1,68,68
15,Kaiir Elam,2,0,0,0
16,Sauce Gardner,2,0,19,16
17,Stephon Gilmore,2,0,31,31
18,Richie Grant,2,0,22,12
19,Duron Harmon,2,1,86,73
20,Jaylinn Hawkins,2,0,14,14
21,C.J. Henderson,2,0,74,54
22,Jevon Holland,2,0,64,33
23,Dane Jackson,2,0,13,11
24,Donte Jackson,2,1,30,30
0,Derwin James,2,0,0,0
1,Josey Jewell,2,0,21,21
2,Jack Jones,2,1,40,40
3,Marcus Jones,2,1,87,69
4,Damontae Kazee,2,0,14,12
5,Desmond King,2,0,30,29
6,Christian Kirksey,2,0,18,18
7,David Long,2,0,4,4
8,Julian Love,2,0,44,27
9,Rodney McLeod,2,1,27,27
10,Jalen Mills,2,0,28,15
11,Denzel Perryman,2,0,48,24
12,Germaine Pratt,2,0,3,3
13,Patrick Queen,2,0,11,11
14,Taylor Rapp,2,0,18,18
15,Amik Robertson,2,0,7,7
16,Asante Samuel Jr.,2,0,11,11
17,Josiah Scott,2,0,13,13
18,Nick Scott,2,0,0,0
19,Isaiah Simmons,2,1,61,56
20,Tremon Smith,2,0,33,26
21,Daniel Sorensen,2,0,50,36
22,Caden Sterns,2,0,25,23
23,Pat Surtain II,2,0,-3,0
24,Bobby Wagner,2,0,13,13
0,Mykal Walker,2,0,33,21
