,Player,INT,INT TD,INT Yds,Lng
0,Trevon Diggs,11,2,142,59
1,J.C. Jackson,8,1,92,88
2,Amani Oruwariye,6,0,73,50
3,Kevin Byard,5,1,66,24
4,Quandre Diggs,5,0,68,29
5,Rasul Douglas,5,2,105,55
6,Xavien Howard,5,1,54,37
7,Micah Hyde,5,1,59,26
8,Xavier McKinney,5,1,64,41
9,Jordan Poyer,5,0,87,26
10,Justin Simmons,5,0,76,35
11,James Bradberry,4,0,19,14
12,Kyle Dugger,4,0,100,37
13,Shaquille Leonard,4,0,12,7
14,Bobby McCain,4,1,63,30
15,Kenny Moore II,4,0,78,32
16,Byron Murphy,4,1,49,29
17,Adrian Phillips,4,1,39,26
18,Jalen Ramsey,4,0,41,25
19,Taylor Rapp,4,0,31,18
20,Pat Surtain II,4,1,70,70
21,Logan Wilson,4,0,31,18
22,Paulson Adebo,3,0,50,33
23,Anthony Averett,3,0,21,21
24,Budda Baker,3,0,101,77
0,Anthony Barr,3,0,11,8
1,Anthony Brown,3,1,45,45
2,Mike Edwards,3,2,46,31
3,Chauncey Gardner-Johnson,3,0,45,26
4,Lonnie Johnson,3,0,47,32
5,John Johnson,3,0,31,31
6,Desmond King,3,0,25,25
7,Marshon Lattimore,3,0,35,20
8,Jourdan Lewis,3,0,88,66
9,Tyrann Mathieu,3,1,56,34
10,Devin McCourty,3,0,22,22
11,Foye Oluokun,3,0,80,56
12,Isaiah Rodgers,3,0,24,12
13,Darius Slay,3,1,76,51
14,Chandon Sullivan,3,0,14,13
15,A.J. Terrell,3,0,42,35
16,Jalen Thompson,3,0,49,33
17,Denzel Ward,3,1,103,99
18,P.J. Williams,3,1,86,46
19,Ahkello Witherspoon,3,0,45,41
20,Xavier Woods,3,0,54,27
21,Jamal Adams,2,0,0,0
22,Adrian Amos,2,0,0,0
23,Eli Apple,2,0,50,50
24,Chidobe Awuzie,2,0,42,42
0,Bashaud Breeland,2,0,26,18
1,Deon Bush,2,0,42,27
2,De'Vondre Campbell,2,0,15,13
3,Tyson Campbell,2,0,3,3
4,Chuck Clark,2,1,17,17
5,Justin Coleman,2,0,0,0
6,Landon Collins,2,0,3,3
7,Tae Crowder,2,0,26,17
8,Ashtyn Davis,2,0,18,18
9,Jamel Dean,2,0,6,6
10,Pierre Desir,2,0,0,0
11,Brandin Echols,2,1,50,30
12,Terrell Edmunds,2,0,15,15
13,Rashaan Evans,2,0,1,1
14,Minkah Fitzpatrick,2,0,18,18
15,Kristian Fulton,2,0,13,13
16,Willie Gay Jr.,2,0,14,13
17,Stephon Gilmore,2,0,13,13
18,Tashaun Gipson,2,0,31,31
19,Shaq Thompson,2,0,39,29
20,Duron Harmon,2,0,0,0
21,Jaylinn Hawkins,2,0,11,11
22,Mike Hilton,2,1,59,35
23,Cole Holcomb,2,1,54,31
24,Jevon Holland,2,0,0,0
0,Donte Jackson,2,0,21,21
1,William Jackson,2,0,0,0
2,Derwin James,2,0,20,15
3,Ernest Jones,2,0,50,31
4,Damontae Kazee,2,0,8,8
5,Jayron Kearse,2,0,34,34
6,Eric Kendricks,2,0,22,22
7,David Long,2,0,6,6
8,Rodney McLeod,2,0,24,24
9,Nik Needham,2,1,28,28
10,Bobby Okereke,2,0,20,16
11,D.J. Reed,2,0,9,7
