,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
0,Desmond King,50.0,1,50,0,1,1,50,0,0
1,Kyle Dugger,37.0,1,37,0,1,0,37,0,0
2,Khalil Shakir,34.0,1,34,0,1,0,34,0,0
3,Kalif Raymond,32.5,2,65,0,1,1,52,0,1
4,Brandon Bolden,32.0,1,32,0,1,0,32,0,0
5,Cordarrelle Patterson,31.6,9,284,1,7,1,103,0,0
6,Dallis Flowers,31.1,23,715,0,22,3,89,0,1
7,Khalil Herbert,29.2,5,146,0,4,1,50,0,0
8,Nyheim Hines,29.2,19,554,2,14,2,101,0,0
9,Russ Yeast,29.0,1,29,0,1,0,29,0,0
10,Keisean Nixon,28.8,35,1009,1,21,5,105,0,0
11,Godwin Igwebuike,28.0,11,308,0,9,2,50,0,0
12,Ty Montgomery,28.0,1,28,0,1,0,28,0,0
13,Velus Jones,27.6,22,607,0,20,4,63,0,0
14,Laviska Shenault Jr.,27.3,3,82,0,2,0,36,0,0
15,Boston Scott,27.1,15,406,0,9,2,66,0,0
16,Raheem Blackshear,27.0,19,513,0,13,3,66,0,0
17,D'Ernest Johnson,27.0,1,27,0,1,0,27,0,0
18,Justin Jackson,26.6,23,613,0,22,1,42,0,0
19,Kene Nwangwu,26.3,35,920,1,28,1,97,0,0
20,Jamal Agnew,26.0,21,547,0,17,2,54,0,0
21,Devin Duvernay,25.5,15,383,1,9,1,103,0,0
22,Steven Sims,25.5,17,434,0,10,1,89,0,0
23,Isaiah Rodgers,25.1,18,452,0,13,1,45,0,0
24,Jonathan Ward,25.0,1,25,0,1,0,25,0,0
0,Justice Hill,24.7,10,247,0,8,1,56,0,0
1,Maurice Alexander,24.3,6,146,0,4,1,47,0,0
2,JaMycal Hasty,24.2,4,97,0,3,0,29,0,0
3,Jaret Patterson,24.2,4,97,0,4,0,27,0,0
4,KaVontae Turpin,24.2,21,508,0,13,1,63,0,0
5,Jerome Ford,24.1,30,723,0,18,3,48,0,0
6,Pharoh Cooper,24.0,12,288,0,8,0,33,0,0
7,Isaiah McKenzie,24.0,6,144,0,4,1,42,0,0
8,Marcus Jones,23.9,27,645,0,18,1,46,0,0
9,Antonio Gibson,23.1,21,486,0,15,2,45,0,0
10,Braxton Berrios,23.1,26,600,0,21,1,42,0,0
11,Ray-Ray McCloud,23.0,26,599,0,18,0,39,0,1
12,Taysom Hill,23.0,3,69,0,2,0,26,0,1
13,Dontrell Hilliard,23.0,1,23,0,1,0,23,0,0
14,Dare Ogunbowale,23.0,2,46,0,2,0,25,0,0
15,Pierre Strong,23.0,5,115,0,5,0,26,0,0
16,Shane Zylstra,23.0,2,46,0,2,0,26,0,0
17,Rashid Shaheed,22.9,14,320,0,11,0,31,0,0
18,Deonte Harty,22.8,6,137,0,5,0,33,0,0
19,Trestan Ebner,22.6,10,226,0,7,0,30,0,0
20,Eno Benjamin,22.5,8,180,0,5,1,44,0,0
21,DeeJay Dallas,22.5,12,270,0,8,0,30,0,0
22,Duke Johnson,22.4,7,157,0,5,1,43,0,0
23,Jaelon Darden,22.3,3,67,0,2,0,25,0,0
24,Trayveon Williams,22.2,16,356,0,10,1,42,0,0
0,Rachaad White,22.2,11,244,0,8,0,30,0,1
1,Mike Hoecht,22.0,1,22,0,1,0,22,0,0
2,Tremon Smith,22.0,19,417,0,13,0,32,0,0
