,Player,Comb,Asst,Solo,Sck
0,Foye Oluokun,192,90,88,2.0
1,Jordyn Brooks,184,75,83,1.0
2,Bobby Wagner,170,77,78,1.0
3,C.J. Mosley,168,65,83,2.0
4,Roquan Smith,163,68,85,3.0
5,Denzel Perryman,154,52,94,0.0
6,De'Vondre Campbell,146,44,88,2.0
7,Kyzir White,144,54,66,1.0
8,Eric Kendricks,143,62,63,5.0
9,Cole Holcomb,142,59,66,1.0
10,Deion Jones,137,50,73,2.0
11,Alex Singleton,137,56,73,0.0
12,Fred Warner,137,58,71,0.5
13,Bobby Okereke,132,43,66,1.0
14,Tae Crowder,130,66,53,0.0
15,T.J. Edwards,130,66,59,1.0
16,Devin White,128,41,81,3.5
17,Minkah Fitzpatrick,124,40,76,0.0
18,Shaquille Leonard,122,47,58,0.0
19,Jalen Thompson,121,42,70,0.0
20,Derwin James,118,43,70,2.0
21,Logan Ryan,117,40,65,1.0
22,Johnathan Abram,116,52,55,0.0
23,Jordan Hicks,116,41,62,4.0
24,Harrison Smith,114,31,68,3.0
0,Jordan Fuller,113,50,58,0.0
1,Anthony Walker,113,44,59,1.0
2,Nick Bolton,112,42,57,0.0
3,Joe Schobert,112,42,57,0.0
4,Quincy Williams,110,37,64,2.0
5,Ja'Whaun Bentley,109,41,51,1.0
6,Tremaine Edmunds,108,38,52,0.0
7,Kamu Grugier-Hill,108,38,58,3.0
8,Myles Jack,108,46,51,0.0
9,Tracy Walker III,108,34,63,1.0
10,Xavier Woods,108,36,65,1.0
11,Jeremy Chinn,107,32,70,1.0
12,Damien Wilson,106,47,55,3.0
13,Demario Davis,105,35,61,3.0
14,Isaiah Simmons,105,35,65,1.5
15,Shaq Thompson,104,39,58,2.0
16,Azeez Al-Shaair,102,44,51,2.0
17,Kenny Moore II,102,20,73,1.0
18,Jayron Kearse,101,34,60,1.0
19,Logan Wilson,100,43,50,1.0
20,Nasir Adderley,99,30,64,0.5
21,Kamren Curl,99,37,57,1.0
22,Budda Baker,98,35,60,2.0
23,Cory Littleton,98,47,46,0.5
24,Patrick Queen,98,30,61,2.0
0,Vonn Bell,97,33,62,0.5
1,Lavonte David,97,34,55,2.0
2,Quandre Diggs,94,28,54,0.0
3,Taylor Rapp,94,30,51,1.5
4,Adrian Amos,93,18,68,0.0
5,Zach Cunningham,93,42,44,0.0
6,Will Harris,93,31,57,0.5
7,Desmond King,93,25,63,0.0
8,Christian Kirksey,93,38,37,0.0
9,Xavier McKinney,93,34,54,0.0
10,Jordan Poyer,93,27,58,3.0
11,Jerome Baker,92,30,54,5.5
12,Kyle Dugger,92,22,56,0.0
13,Adrian Phillips,92,36,41,0.0
14,Germaine Pratt,91,34,51,0.5
15,Troy Reeder,91,43,41,2.0
16,Terrell Edmunds,89,26,49,1.0
17,Cameron Heyward,89,36,39,10.0
18,Christian Wilkins,89,40,35,4.5
19,Jessie Bates,88,21,62,0.0
20,Kevin Byard,88,31,42,1.0
21,Jermaine Carter,88,50,36,0.0
22,Kareem Jackson,88,26,55,1.0
23,Antoine Winfield Jr.,88,26,59,2.0
24,Andrew Wingard,88,31,54,1.0
0,Jamal Adams,87,31,47,0.0
1,Alec Ogletree,87,32,51,0.0
2,Matt Milano,86,29,45,3.0
3,Tavierre Thomas,86,35,43,0.0
4,Nick Vigil,85,40,39,1.0
5,Aaron Donald,84,46,30,12.5
6,Micah Parsons,84,20,59,13.0
7,Elandon Roberts,83,41,36,1.0
8,Jalen Reeves-Maybin,82,29,47,0.0
9,Krys Barnes,81,23,53,1.0
10,Landon Collins,81,30,46,3.0
11,A.J. Terrell,81,29,51,1.0
12,Leonard Williams,81,47,27,6.5
13,Chuck Clark,80,31,45,1.0
14,Anthony Hitchens,80,39,37,0.0
15,Justin Simmons,80,20,49,1.5
16,Bryce Hall,79,13,58,0.5
17,Malcolm Jenkins,79,26,49,1.0
18,Brandon Jones,79,31,40,5.0
19,Alex Anzalone,78,29,44,1.0
20,D.J. Reed,78,16,48,0.0
21,Brandon Stephens,78,29,46,0.0
22,Kendall Fuller,77,13,58,1.0
23,Jalen Ramsey,77,15,52,0.0
24,Leighton Vander Esch,77,29,43,1.0
0,Jimmie Ward,77,26,44,0.0
1,Josh Bynes,76,26,38,2.0
2,Jamin Davis,76,28,40,1.0
3,Eddie Jackson,76,22,49,0.0
4,Taron Johnson,76,23,42,3.0
5,Tyrann Mathieu,76,16,57,1.0
6,Eric Murray,76,28,42,0.0
7,Jeremiah Owusu-Koramoah,76,27,43,1.5
8,L'Jarius Sneed,76,19,55,1.0
9,Drue Tranquill,76,31,43,1.5
10,Harold Landry,75,24,44,12.0
11,David Long,75,29,40,0.0
12,Kenny Young,75,34,38,2.0
13,Alex Highsmith,74,28,37,6.0
14,Nate Hobbs,74,23,48,1.0
15,Micah Hyde,74,21,49,1.0
16,Marcus Williams,74,22,50,0.0
17,Tyson Campbell,73,24,46,0.0
18,Rayshawn Jenkins,73,17,50,0.0
19,Avonte Maddox,73,20,47,0.5
20,Jordan Whitehead,73,15,52,0.0
21,Anthony Barr,72,34,31,2.5
22,Michael Carter II,72,27,38,1.0
23,Anthony Harris,72,36,34,0.0
24,Austin Johnson,72,41,25,3.5
0,Keanu Neal,72,28,42,1.0
1,Eric Rowe,72,28,38,0.0
2,Josh Allen,71,25,36,7.5
3,Anthony Brown,71,12,56,0.0
4,Andrew Van Ginkel,71,21,40,4.0
5,Darious Williams,71,11,55,0.0
6,Devin Bush,70,29,35,2.0
7,Leonard Floyd,70,33,30,9.5
8,Jevon Holland,69,21,44,2.5
9,DeForest Buckner,68,28,28,7.0
10,Marshon Lattimore,68,13,53,0.0
11,Haason Reddick,68,31,31,11.0
12,Derrick Barnes,67,25,36,2.0
13,Duron Harmon,67,23,39,0.0
14,Dean Marlowe,67,30,29,0.0
15,Reggie Ragland,67,29,31,0.0
16,A'Shawn Robinson,67,34,24,2.0
17,Charvarius Ward,67,19,44,0.0
18,Paulson Adebo,66,11,51,0.0
19,Grant Delpit,66,23,39,1.0
20,Mike Hilton,66,18,43,0.0
21,Sidney Jones,66,21,38,0.0
22,Julian Love,66,30,33,0.5
23,Justin Reid,66,25,36,0.0
24,Jaquiski Tartt,66,24,36,0.0
0,Kyle Van Noy,66,24,34,5.0
1,Davon Godchaux,65,33,25,1.0
2,Charles Harris,65,31,31,7.5
3,Chidobe Awuzie,64,11,49,0.0
4,Erik Harris,64,18,44,0.5
5,Dont'a Hightower,64,25,31,1.5
6,Byron Murphy,64,15,49,0.5
7,Juan Thornhill,64,21,42,0.0
8,T.J. Watt,64,16,42,22.5
9,Arik Armstead,63,34,22,6.0
10,Bashaud Breeland,63,16,38,0.0
11,Brandin Echols,63,13,46,0.0
12,Javon Hargrave,63,36,25,7.5
13,Bobby McCain,63,16,46,0.0
14,Darnell Savage,63,15,43,0.0
15,Khari Willis,63,20,36,1.5
16,Jonathan Allen,62,31,24,9.0
17,Ashtyn Davis,62,19,37,0.5
18,Marcus Epps,62,23,37,0.0
19,Amani Hooker,62,24,36,0.0
20,Sam Hubbard,62,29,30,7.5
21,Adoree' Jackson,62,15,41,0.0
22,Elijah Molden,62,19,39,0.0
23,Zach Sieler,62,29,23,2.0
24,Pete Werner,62,26,30,0.0
0,Donte Jackson,61,11,48,0.0
1,John Johnson,61,24,32,0.5
2,Ernest Jones,61,25,29,1.0
3,Jourdan Lewis,61,14,45,1.5
4,Fabian Moreau,61,17,42,0.0
5,Daron Payne,61,26,28,4.5
6,Lawrence Guy,60,23,23,1.5
7,Neville Hewitt,60,23,32,0.0
8,Matt Judon,60,22,31,12.5
9,Devin McCourty,60,18,40,0.0
10,Terrance Mitchell,60,15,38,0.0
11,Tyus Bowser,59,26,29,7.0
12,Grady Jarrett,59,21,28,1.0
13,Cameron Jordan,59,21,35,12.5
14,Nik Needham,59,11,42,1.0
15,Baron Browning,58,26,32,0.0
16,Ronnie Harrison,58,18,32,1.0
17,Marlon Humphrey,58,14,41,0.0
18,J.C. Jackson,58,14,40,0.0
19,Byron Jones,58,11,40,0.0
20,Rodney McLeod,58,26,31,0.0
21,Pat Surtain II,58,13,45,0.0
22,Levi Wallace,58,11,42,0.0
23,Malcom Brown,57,27,24,2.0
24,Rasul Douglas,57,5,51,0.0
0,Rashaan Evans,57,22,29,0.0
1,Linval Joseph,57,27,24,1.0
2,Ben Niemann,57,18,33,1.0
3,Amani Oruwariye,57,13,42,0.0
4,Maxx Crosby,56,20,26,8.0
5,D.J. Jones,56,16,34,2.0
6,Robert Spillane,56,27,25,0.0
7,Jayon Brown,55,20,32,0.0
8,Brandon Facyson,55,13,38,0.0
9,Greg Gaines,55,27,21,4.5
