,concat_index,Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk,season_year
0,0,Daniel Carlson,40,43,93.0,0/0,10/11,12/12,12/13,6/7,0/0,56,0,2021
1,1,Chris Boswell,36,40,90.0,0/0,9/9,8/9,11/13,8/9,0/0,56,0,2021
2,2,Nick Folk,36,39,92.3,0/0,9/9,11/11,11/11,5/8,0/0,53,0,2021
3,3,Justin Tucker,35,37,94.6,0/0,7/7,9/9,13/15,5/5,1/1,66,0,2021
4,4,Greg Joseph,33,38,86.8,0/0,8/8,11/12,7/9,7/9,0/0,55,0,2021
5,5,Matt Gay,32,34,94.1,0/0,6/6,15/15,7/8,4/5,0/0,55,0,2021
6,6,Jake Elliott,30,33,90.9,0/0,7/7,10/10,10/13,3/3,0/0,58,1,2021
7,7,Dustin Hopkins,30,34,88.2,1/1,8/8,6/6,13/14,2/5,0/0,50,0,2021
8,8,Matt Prater,30,37,81.1,0/0,11/11,9/11,3/5,6/7,1/3,62,0,2021
9,9,Graham Gano,29,33,87.9,0/0,5/5,12/13,5/5,7/10,0/0,55,0,2021
10,10,Greg Zuerlein,29,35,82.9,0/0,5/5,15/16,7/9,2/4,0/1,56,0,2021
11,11,Tyler Bass,28,32,87.5,0/0,15/15,7/8,4/5,2/4,0/0,57,0,2021
12,12,Evan McPherson,28,33,84.8,0/0,5/5,8/8,6/9,9/11,0/0,58,0,2021
13,13,Younghoe Koo,27,29,93.1,0/0,8/8,9/9,6/7,4/5,0/0,54,0,2021
14,14,Randy Bullock,26,31,83.9,0/0,5/5,12/12,8/13,1/1,0/0,51,0,2021
15,15,Brandon McManus,26,31,83.9,0/0,7/8,6/6,8/8,4/8,1/1,61,1,2021
16,16,Cairo Santos,26,30,86.7,0/0,10/10,5/5,11/13,0/1,0/1,47,1,2021
17,17,Harrison Butker,25,28,89.3,0/0,3/3,11/11,4/5,7/9,0/0,56,0,2021
18,18,Mason Crosby,25,34,73.5,0/0,9/9,9/13,4/8,3/4,0/0,54,2,2021
19,19,Ryan Succop,25,30,83.3,0/0,11/11,7/8,7/10,0/1,0/0,48,0,2021
20,20,Jason Sanders,23,31,74.2,0/0,6/6,7/9,8/10,2/6,0/0,51,3,2021
