,concat_index,Player,FF,FR,FR TD,season_year
0,0,Shaquille Leonard,8,2,0,2021
1,1,Joey Bosa,7,0,0,2021
2,2,Josh Norman,7,0,0,2021
3,3,Chandler Jones,6,1,0,2021
4,4,Robert Quinn,5,0,0,2021
5,5,T.J. Watt,5,3,0,2021
6,6,Nick Bosa,4,0,0,2021
7,7,Aaron Donald,4,0,0,2021
8,8,Trevis Gipson,4,1,0,2021
9,9,Markus Golden,4,2,0,2021
10,10,Mike Hughes,4,1,1,2021
11,11,Isaiah Simmons,4,0,0,2021
12,12,Shaquil Barrett,3,2,0,2021
13,13,Vonn Bell,3,1,0,2021
14,14,Ja'Whaun Bentley,3,0,0,2021
15,15,Marcus Davenport,3,1,0,2021
16,16,Ashtyn Davis,3,0,0,2021
17,17,Dante Fowler Jr.,3,0,0,2021
18,18,Randy Gregory,3,1,0,2021
19,19,Trey Hendrickson,3,0,0,2021
20,20,Derwin James,3,0,0,2021
21,21,Terrance Mitchell,3,0,0,2021
22,22,Odafe Oweh,3,2,0,2021
23,23,Micah Parsons,3,0,0,2021
24,24,James Pierre,3,0,0,2021
25,0,Eric Rowe,3,0,0,2021
26,1,Montez Sweat,3,0,0,2021
27,2,Quincy Williams,3,0,0,2021
28,3,Tyrell Adams,2,0,0,2021
29,4,Mario Addison,2,0,0,2021
30,5,Tyus Bowser,2,0,0,2021
31,6,Bashaud Breeland,2,0,0,2021
32,7,Brian Burns,2,0,0,2021
33,8,Kevin Byard,2,1,1,2021
34,9,De'Vondre Campbell,2,1,0,2021
35,10,Tevaughn Campbell,2,1,1,2021
36,11,Lorenzo Carter,2,1,0,2021
37,12,Andre Cisco,2,0,0,2021
38,13,Frank Clark,2,0,0,2021
39,14,Jadeveon Clowney,2,0,0,2021
40,15,Fletcher Cox,2,1,1,2021
41,16,Michael Danna,2,0,0,2021
42,17,Lavonte David,2,1,0,2021
43,18,Rashan Gary,2,1,0,2021
44,19,Jonathan Greenard,2,0,0,2021
45,20,Kamu Grugier-Hill,2,0,0,2021
46,21,Charles Harris,2,0,0,2021
47,22,Cole Holcomb,2,1,0,2021
48,23,Xavien Howard,2,2,1,2021
49,24,Jerry Hughes,2,0,0,2021
50,0,Quinton Jefferson,2,0,0,2021
51,1,D.J. Jones,2,0,0,2021
52,2,Cameron Jordan,2,0,0,2021
53,3,Damontae Kazee,2,0,0,2021
54,4,Demarcus Lawrence,2,0,0,2021
55,5,Avonte Maddox,2,0,0,2021
56,6,Jake Martin,2,0,0,2021
57,7,C.J. Mosley,2,0,0,2021
58,8,Yannick Ngakoue,2,0,0,2021
59,9,Uchenna Nwosu,2,1,0,2021
60,10,Ogbo Okoronkwo,2,0,0,2021
61,11,Jeremiah Owusu-Koramoah,2,0,0,2021
62,12,Jason Pinnock,2,0,0,2021
63,13,Germaine Pratt,2,2,0,2021
64,14,Haason Reddick,2,1,0,2021
65,15,Jarran Reed,2,1,0,2021
66,16,Malik Reed,2,1,0,2021
67,17,Jalen Reeves-Maybin,2,1,0,2021
68,18,Elandon Roberts,2,0,0,2021
69,19,A'Shawn Robinson,2,0,0,2021
70,20,Logan Ryan,2,1,0,2021
71,21,Preston Smith,2,1,0,2021
72,22,Davion Taylor,2,0,0,2021
73,23,Solomon Thomas,2,0,0,2021
74,24,Kyle Van Noy,2,1,0,2021
75,0,Armon Watts,2,0,0,2021
76,1,Tershawn Wharton,2,0,0,2021
77,2,Kyzir White,2,0,0,2021
78,3,Leonard Williams,2,1,0,2021
79,4,Marco Wilson,2,0,0,2021
80,5,Antoine Winfield Jr.,2,3,0,2021
81,6,Xavier Woods,2,0,0,2021
82,7,Chase Young,2,0,0,2021
83,8,Kenny Young,2,1,0,2021
84,9,Nasir Adderley,1,1,0,2021
85,10,Kwon Alexander,1,1,0,2021
86,11,Dakota Allen,1,0,0,2021
87,12,Josh Allen,1,1,0,2021
88,13,Azeez Al-Shaair,1,2,0,2021
89,14,Ugo Amadi,1,0,0,2021
90,15,J.J. Arcega-Whiteside,1,0,0,2021
91,16,Jerome Baker,1,0,0,2021
92,17,Tarell Basham,1,1,0,2021
93,18,Nick Bellore,1,0,0,2021
94,19,Justin Bethel,1,0,0,2021
95,20,Henry Black,1,0,0,2021
96,21,Ross Blacklock,1,0,0,2021
97,22,Julian Blackmon,1,0,0,2021
98,23,A.J. Bouye,1,0,0,2021
99,24,Anthony Brown,1,0,0,2021
100,0,Myles Bryant,1,0,0,2021
101,1,Sean Murphy-Bunting,1,0,0,2021
102,2,Devin Bush,1,1,0,2021
103,3,Sean Chandler,1,0,0,2021
104,4,Jeremy Chinn,1,1,0,2021
105,5,Kenny Clark,1,1,0,2021
106,6,Ross Cockrell,1,0,0,2021
107,7,Dylan Cole,1,0,0,2021
108,8,AJ Cole,1,0,0,2021
109,9,Landon Collins,1,2,0,2021
110,10,Christian Covington,1,0,0,2021
111,11,Keion Crossen,1,0,0,2021
112,12,Tae Crowder,1,0,0,2021
113,13,Dane Cruikshank,1,0,0,2021
114,14,Zach Cunningham,1,0,0,2021
115,15,Dominique Dafney,1,0,0,2021
116,16,DeeJay Dallas,1,0,0,2021
117,17,Cameron Dantzler,1,0,0,2021
118,18,Frank Darby,1,0,0,2021
119,19,Jalen Davis,1,0,0,2021
120,20,Akeem Davis-Gaither,1,0,0,2021
121,21,Grant Delpit,1,0,0,2021
122,22,Pierre Desir,1,0,0,2021
123,23,Rasul Douglas,1,0,0,2021
124,24,Carlos Dunlap,1,0,0,2021
125,0,Bud Dupree,1,0,0,2021
126,1,Samson Ebukam,1,0,0,2021
127,2,Mike Edwards,1,0,0,2021
128,3,Rashaan Evans,1,1,0,2021
129,4,Kyler Fackrell,1,1,0,2021
130,5,George Fant,1,0,0,2021
131,6,Matthias Farley,1,1,0,2021
132,7,Demetric Felton,1,0,0,2021
133,8,Rashad Fenton,1,0,0,2021
134,9,Minkah Fitzpatrick,1,0,0,2021
135,10,Trey Flowers,1,1,0,2021
136,11,Leonard Floyd,1,1,0,2021
137,12,Dee Ford,1,0,0,2021
138,13,Leki Fotu,1,0,0,2021
139,14,Morgan Fox,1,1,0,2021
140,15,John Franklin-Myers,1,0,0,2021
141,16,Myles Garrett,1,1,1,2021
142,17,Mark Gilbert,1,0,0,2021
143,18,Kevin Givens,1,0,0,2021
144,19,Davon Godchaux,1,0,0,2021
145,20,Richie Grant,1,1,0,2021
