,concat_index,Player,INT,INT TD,INT Yds,Lng,season_year
0,0,Trevon Diggs,11,2,142,59,2021
1,1,J.C. Jackson,8,1,92,88,2021
2,2,Amani Oruwariye,6,0,73,50,2021
3,3,Kevin Byard,5,1,66,24,2021
4,4,Quandre Diggs,5,0,68,29,2021
5,5,Rasul Douglas,5,2,105,55,2021
6,6,Xavien Howard,5,1,54,37,2021
7,7,Micah Hyde,5,1,59,26,2021
8,8,Xavier McKinney,5,1,64,41,2021
9,9,Jordan Poyer,5,0,87,26,2021
10,10,Justin Simmons,5,0,76,35,2021
11,11,James Bradberry,4,0,19,14,2021
12,12,Kyle Dugger,4,0,100,37,2021
13,13,Shaquille Leonard,4,0,12,7,2021
14,14,Bobby McCain,4,1,63,30,2021
15,15,Kenny Moore II,4,0,78,32,2021
16,16,Byron Murphy,4,1,49,29,2021
17,17,Adrian Phillips,4,1,39,26,2021
18,18,Jalen Ramsey,4,0,41,25,2021
19,19,Taylor Rapp,4,0,31,18,2021
20,20,Pat Surtain II,4,1,70,70,2021
21,21,Logan Wilson,4,0,31,18,2021
22,22,Paulson Adebo,3,0,50,33,2021
23,23,Anthony Averett,3,0,21,21,2021
24,24,Budda Baker,3,0,101,77,2021
25,0,Anthony Barr,3,0,11,8,2021
26,1,Anthony Brown,3,1,45,45,2021
27,2,Mike Edwards,3,2,46,31,2021
28,3,C.J. Gardner-Johnson,3,0,45,26,2021
29,4,Lonnie Johnson,3,0,47,32,2021
30,5,John Johnson,3,0,31,31,2021
31,6,Desmond King,3,0,25,25,2021
32,7,Marshon Lattimore,3,0,35,20,2021
33,8,Jourdan Lewis,3,0,88,66,2021
34,9,Tyrann Mathieu,3,1,56,34,2021
35,10,Devin McCourty,3,0,22,22,2021
36,11,Foye Oluokun,3,0,80,56,2021
37,12,Isaiah Rodgers,3,0,24,12,2021
38,13,Darius Slay,3,1,76,51,2021
39,14,Chandon Sullivan,3,0,14,13,2021
40,15,A.J. Terrell,3,0,42,35,2021
41,16,Jalen Thompson,3,0,49,33,2021
42,17,Denzel Ward,3,1,103,99,2021
43,18,P.J. Williams,3,1,86,46,2021
44,19,Ahkello Witherspoon,3,0,45,41,2021
45,20,Xavier Woods,3,0,54,27,2021
46,21,Jamal Adams,2,0,0,0,2021
47,22,Adrian Amos,2,0,0,0,2021
48,23,Eli Apple,2,0,50,50,2021
49,24,Chidobe Awuzie,2,0,42,42,2021
50,0,Bashaud Breeland,2,0,26,18,2021
51,1,Deon Bush,2,0,42,27,2021
52,2,De'Vondre Campbell,2,0,15,13,2021
53,3,Tyson Campbell,2,0,3,3,2021
54,4,Chuck Clark,2,1,17,17,2021
55,5,Justin Coleman,2,0,0,0,2021
56,6,Landon Collins,2,0,3,3,2021
57,7,Tae Crowder,2,0,26,17,2021
58,8,Ashtyn Davis,2,0,18,18,2021
59,9,Jamel Dean,2,0,6,6,2021
60,10,Pierre Desir,2,0,0,0,2021
61,11,Brandin Echols,2,1,50,30,2021
62,12,Terrell Edmunds,2,0,15,15,2021
63,13,Rashaan Evans,2,0,1,1,2021
64,14,Minkah Fitzpatrick,2,0,18,18,2021
65,15,Kristian Fulton,2,0,13,13,2021
66,16,Willie Gay Jr.,2,0,14,13,2021
67,17,Stephon Gilmore,2,0,13,13,2021
68,18,Tashaun Gipson,2,0,31,31,2021
69,19,Shaq Thompson,2,0,39,29,2021
70,20,Duron Harmon,2,0,0,0,2021
71,21,Jaylinn Hawkins,2,0,11,11,2021
72,22,Mike Hilton,2,1,59,35,2021
73,23,Cole Holcomb,2,1,54,31,2021
