,concat_index,Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,season_year
0,0,Kene Nwangwu,32.2,18,579,2,14,3,99,0,0,2021
1,1,Andy Isabella,31.0,1,31,0,1,0,31,0,0,2021
2,2,Braxton Berrios,30.4,28,852,1,24,3,102,0,0,2021
3,3,Ty Montgomery,29.5,2,59,0,2,0,33,0,0,2021
4,4,Chris Evans,29.0,2,58,0,2,0,29,0,0,2021
5,5,Tevin Coleman,28.8,11,317,0,8,1,65,0,0,2021
6,6,Tony Pollard,28.8,17,489,1,13,2,100,0,0,2021
7,7,Alex Erickson,28.5,2,57,0,1,0,39,0,0,2021
8,8,Jason Huntley,28.0,3,84,0,3,0,35,0,0,2021
9,9,Andre Roberts,27.3,37,1010,1,23,4,101,0,1,2021
10,10,Matt Breida,27.0,1,27,0,1,0,27,0,0,2021
11,11,D'Wayne Eskridge,27.0,2,54,0,2,0,27,0,0,2021
12,12,Desmond King,27.0,1,27,0,1,0,27,0,0,2021
13,13,Artavis Pierce,27.0,1,27,0,1,0,27,0,0,2021
14,14,Isaiah Rodgers,26.4,19,501,0,13,4,72,0,0,2021
15,15,Brandon Powell,26.0,8,208,0,4,1,65,0,0,2021
16,16,Byron Pringle,25.9,24,621,0,20,0,39,0,0,2021
17,17,Ashton Dulin,25.8,8,206,0,7,0,31,0,0,2021
18,18,Tremon Smith,25.6,21,537,1,13,2,98,0,0,2021
19,19,DeAndre Carter,25.1,36,904,1,25,1,101,0,1,2021
20,20,Mike Hughes,25.0,1,25,0,1,0,25,0,0,2021
21,21,Deebo Samuel,25.0,3,75,0,2,0,33,0,0,2021
22,22,J.J. Taylor,25.0,1,25,0,1,0,25,0,0,2021
23,23,Godwin Igwebuike,24.9,28,697,0,21,2,47,0,1,2021
24,24,C.J. Board,24.8,11,273,0,9,0,38,0,1,2021
25,0,Peyton Barber,24.5,2,49,0,2,0,25,0,0,2021
26,1,Ja'Marcus Bradley,24.5,2,49,0,2,0,25,0,0,2021
27,2,Anthony McFarland,24.3,3,73,0,3,0,25,0,0,2021
28,3,Isaiah McKenzie,24.3,24,584,0,15,2,75,0,1,2021
29,4,Malik Taylor,24.2,4,97,0,3,0,32,0,1,2021
