,concat_index,Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,season_year
0,0,Matt Gay,102,6309,647,65,63.7,32,20.2,3,0,4,0,2021
1,1,Dustin Hopkins,100,6294,493,71,71.0,28,17.6,2,0,0,0,2021
2,2,Greg Zuerlein,100,6422,468,80,80.0,19,24.6,1,0,1,0,2021
3,3,Tyler Bass,99,6216,740,56,56.6,41,18.0,1,0,2,0,2021
4,4,Jake Elliott,96,6077,879,61,63.5,35,25.1,2,0,0,0,2021
5,5,Matt Prater,96,5958,390,73,76.0,22,17.7,5,0,0,0,2021
6,6,Rigoberto Sanchez,95,5974,988,47,49.5,48,20.6,2,0,0,0,2021
7,7,Mason Crosby,94,6031,1283,43,45.7,50,25.7,0,0,1,0,2021
8,8,Greg Joseph,94,6004,383,76,80.8,18,21.3,1,0,0,0,2021
9,9,Jake Bailey,93,5886,1038,41,44.1,49,21.2,0,0,3,0,2021
10,10,Harrison Butker,93,5853,597,61,65.6,31,19.3,0,0,0,0,2021
11,11,Evan McPherson,91,5814,755,55,60.4,35,21.6,0,0,1,0,2021
12,12,Bradley Pinion,90,5772,474,71,78.9,18,26.3,1,0,1,0,2021
13,13,Justin Tucker,90,5443,724,47,52.2,41,17.7,3,0,1,1,2021
14,14,Randy Bullock,89,5682,794,50,56.2,39,20.4,0,0,0,0,2021
15,15,Daniel Carlson,87,5560,742,53,60.9,33,22.5,0,0,1,1,2021
16,16,Chris Boswell,86,5464,1090,40,46.5,45,24.2,0,0,1,0,2021
17,17,Jason Myers,82,5080,972,31,37.8,50,19.4,1,0,1,0,2021
18,18,Brandon McManus,78,4975,551,62,79.5,15,36.7,2,0,0,2,2021
19,19,Jason Sanders,78,4969,420,56,71.8,21,20.0,1,0,1,0,2021
20,20,Cairo Santos,71,4443,750,34,47.9,35,21.4,2,0,0,0,2021
21,21,Chase McLaughlin,69,4347,747,31,44.9,38,19.7,1,0,0,0,2021
22,22,Graham Gano,64,3966,653,27,42.2,36,18.1,0,0,1,0,2021
