,concat_index,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,season_year
0,0,Cooper Kupp,145,1947,16,30,9,59,89,61.4,0,846,192,2021
1,1,Davante Adams,123,1553,11,19,4,59,84,68.3,0,613,169,2021
2,2,Tyreek Hill,111,1239,9,13,3,75,75,67.6,2,444,159,2021
3,3,Justin Jefferson,108,1616,10,27,5,56,75,69.4,1,482,170,2021
4,4,Mark Andrews,107,1361,9,20,2,43,75,70.1,1,458,158,2021
5,5,Diontae Johnson,107,1161,8,14,4,50,59,55.1,2,527,173,2021
6,6,Keenan Allen,106,1138,6,12,2,42,66,62.3,1,337,158,2021
7,7,Jaylen Waddle,104,1015,6,8,2,57,59,56.7,1,420,140,2021
8,8,Stefon Diggs,103,1225,10,12,4,61,66,64.1,1,326,164,2021
9,9,Hunter Renfrow,103,1038,9,10,1,54,51,49.5,1,452,129,2021
10,10,Chris Godwin,98,1103,5,15,1,44,55,56.1,2,586,127,2021
11,11,D.J. Moore,93,1157,4,16,1,64,60,64.5,1,426,164,2021
12,12,Travis Kelce,92,1125,9,13,2,69,63,68.5,1,564,134,2021
13,13,Marquise Brown,91,1008,6,15,3,49,41,45.0,3,388,147,2021
14,14,Brandin Cooks,90,1037,6,12,5,52,46,51.1,0,343,134,2021
15,15,Amon-Ra St. Brown,90,912,5,11,0,37,48,53.3,0,424,121,2021
16,16,Michael Pittman,88,1082,6,12,3,57,55,62.5,1,348,130,2021
17,17,Jakobi Meyers,83,866,2,12,0,39,42,50.6,1,222,128,2021
18,18,Cole Beasley,82,693,1,5,0,29,34,41.5,1,305,113,2021
19,19,Ja'Marr Chase,81,1455,13,22,8,82,56,69.1,2,651,128,2021
20,20,Darnell Mooney,81,1055,4,14,3,64,49,60.5,0,381,141,2021
21,21,CeeDee Lamb,79,1102,6,20,2,49,54,68.4,0,441,121,2021
22,22,Dalton Schultz,78,808,8,6,0,32,43,55.1,0,348,106,2021
23,23,Christian Kirk,77,982,5,16,4,50,44,57.1,0,243,103,2021
24,24,Terry McLaurin,77,1053,5,15,3,46,47,61.0,0,317,130,2021
25,0,Deebo Samuel,77,1405,6,23,9,83,51,66.2,4,780,121,2021
26,1,Mike Williams,76,1146,9,17,9,72,51,67.1,0,415,130,2021
27,2,DK Metcalf,75,967,12,11,2,84,48,64.0,1,328,129,2021
28,3,Zach Ertz,74,763,5,7,1,47,40,54.0,0,340,113,2021
29,4,Mike Evans,74,1035,14,20,3,46,56,75.7,0,239,114,2021
30,5,Najee Harris,74,467,3,3,0,25,22,29.7,0,499,94,2021
31,6,Tee Higgins,74,1091,6,17,2,54,53,71.6,1,290,111,2021
32,7,Mike Gesicki,73,780,2,12,1,40,39,53.4,0,218,113,2021
33,8,Marvin Jones,73,832,4,13,0,33,42,57.5,0,132,120,2021
34,9,Tyler Lockett,73,1175,8,22,7,69,41,56.2,0,277,108,2021
35,10,George Kittle,71,910,6,13,1,48,42,59.2,2,450,94,2021
36,11,Austin Ekeler,70,647,8,3,1,40,31,44.3,4,627,95,2021
37,12,Leonard Fournette,69,454,2,1,0,23,30,43.5,1,449,84,2021
38,13,Amari Cooper,68,865,8,15,1,41,45,66.2,1,235,104,2021
39,14,Noah Fant,68,670,4,7,0,35,29,42.6,0,309,91,2021
40,15,Kyle Pitts,68,1026,1,16,2,61,43,63.2,0,313,110,2021
41,16,Tyler Boyd,67,828,5,10,2,68,37,55.2,1,389,95,2021
42,17,Adam Thielen,67,726,10,14,0,35,37,55.2,1,239,95,2021
43,18,Russell Gage,66,770,4,8,1,49,37,56.1,2,253,94,2021
44,19,DeVonta Smith,64,916,5,16,1,46,43,67.2,1,220,105,2021
45,20,A.J. Brown,63,869,5,10,3,57,45,71.4,0,248,105,2021
46,21,Laviska Shenault Jr.,63,619,0,5,2,58,30,47.6,1,389,100,2021
47,22,D'Andre Swift,62,452,2,3,2,63,19,30.6,2,502,78,2021
48,23,Tyler Conklin,61,593,3,4,1,40,26,42.6,1,326,87,2021
49,24,Tyler Higbee,61,560,5,3,0,37,33,54.1,1,281,85,2021
50,0,T.J. Hockenson,61,583,4,8,0,33,32,52.5,0,199,86,2021
51,1,Pat Freiermuth,60,497,7,2,0,24,34,56.7,1,247,80,2021
52,2,Cole Kmet,60,612,0,7,0,25,29,48.3,0,246,93,2021
53,3,Chase Claypool,59,860,2,13,4,59,36,61.0,0,295,105,2021
54,4,Mecole Hardman,59,693,2,8,4,53,33,55.9,1,502,83,2021
55,5,Courtland Sutton,58,776,2,9,2,55,35,60.3,0,135,100,2021
56,6,Brandon Aiyuk,56,826,5,16,1,43,37,66.1,1,349,86,2021
57,7,Dallas Goedert,56,830,4,14,1,45,42,75.0,1,386,77,2021
58,8,Kendrick Bourne,55,800,5,10,5,75,27,49.1,1,385,70,2021
59,9,Rob Gronkowski,55,802,6,16,1,42,34,61.8,0,350,89,2021
60,10,Darren Waller,55,665,2,13,0,33,31,56.4,0,242,93,2021
61,11,A.J. Green,54,848,3,16,3,42,37,68.5,0,181,93,2021
62,12,Josh Jacobs,54,348,0,2,0,29,14,25.9,0,395,64,2021
63,13,Rondale Moore,54,435,1,3,1,77,18,33.3,1,438,64,2021
64,14,Robbie Anderson,53,519,5,3,1,57,27,50.9,0,158,110,2021
65,15,Tim Patrick,53,734,5,10,1,44,39,73.6,0,202,85,2021
66,16,Aaron Jones,52,391,6,4,0,26,22,42.3,1,412,65,2021
67,17,Jarvis Landry,52,570,2,7,0,38,29,55.8,1,286,87,2021
68,18,Cordarrelle Patterson,52,548,5,8,2,64,26,50.0,0,385,69,2021
69,19,Jamison Crowder,51,447,2,3,0,29,24,47.1,1,174,73,2021
70,20,Hunter Henry,50,603,9,8,0,35,34,68.0,0,144,75,2021
71,21,Van Jefferson,50,802,6,12,4,79,32,64.0,0,216,89,2021
72,22,K.J. Osborn,50,655,7,10,2,64,26,52.0,0,179,82,2021
73,23,Myles Gaskin,49,234,4,2,0,24,13,26.5,0,224,63,2021
74,24,Dawson Knox,49,587,9,8,2,53,31,63.3,0,277,71,2021
75,0,C.J. Uzomah,49,493,5,7,1,55,24,49.0,0,300,63,2021
76,1,Jared Cook,48,564,4,7,1,42,31,64.6,0,238,85,2021
77,2,Gerald Everett,48,478,4,5,1,41,26,54.2,2,249,63,2021
78,3,Kalif Raymond,48,576,4,8,1,75,28,58.3,0,262,71,2021
79,4,Ezekiel Elliott,47,287,2,1,0,21,17,36.2,0,295,65,2021
80,5,Zay Jones,47,546,1,8,2,43,29,61.7,1,170,70,2021
81,6,Alvin Kamara,47,439,5,4,0,31,20,42.6,0,437,67,2021
82,7,Darrel Williams,47,452,2,4,0,38,19,40.4,0,435,57,2021
83,8,Rashod Bateman,46,515,1,8,0,36,29,63.0,0,171,68,2021
84,9,Braxton Berrios,46,431,2,5,1,46,22,47.8,1,264,65,2021
85,10,Marquez Callaway,46,698,6,9,3,58,32,69.6,0,144,84,2021
86,11,Evan Engram,46,408,3,2,0,30,21,45.6,1,185,73,2021
87,12,Ced Wilson,45,602,6,8,2,73,27,60.0,1,260,62,2021
88,13,Robert Woods,45,556,4,8,0,28,34,75.6,0,198,70,2021
89,14,Odell Beckham Jr.,44,537,5,7,2,54,27,61.4,0,151,83,2021
90,15,Mike Davis,44,259,1,2,0,20,12,27.3,2,306,58,2021
91,16,Chase Edmonds,43,311,0,2,0,36,11,25.6,1,324,53,2021
92,17,J.D. McKissic,43,397,2,3,1,56,15,34.9,0,380,54,2021
93,18,Elijah Moore,43,538,5,9,1,62,24,55.8,0,207,78,2021
94,19,Quez Watkins,43,647,1,12,3,91,25,58.1,0,253,63,2021
95,20,Javonte Williams,43,316,3,2,1,42,12,27.9,0,343,53,2021
96,21,Antonio Brown,42,545,4,10,2,62,29,69.0,0,190,62,2021
97,22,Antonio Gibson,42,294,3,2,1,73,12,28.6,1,333,53,2021
98,23,DeAndre Hopkins,42,572,8,7,1,55,32,76.2,0,140,64,2021
99,24,Joe Mixon,42,314,3,3,3,52,11,26.2,1,318,48,2021
100,0,David Montgomery,42,301,0,0,0,16,18,42.9,0,273,51,2021
101,1,Byron Pringle,42,568,5,11,1,40,32,76.2,0,187,60,2021
102,2,Emmanuel Sanders,42,626,4,10,1,41,31,73.8,0,85,73,2021
103,3,Saquon Barkley,41,263,2,1,1,54,13,31.7,1,298,57,2021
104,4,Brandon Bolden,41,405,2,5,0,28,21,51.2,0,416,49,2021
105,5,Adam Humphries,41,383,0,4,0,27,23,56.1,0,150,62,2021
106,6,Devontae Booker,40,268,1,1,1,41,11,27.5,0,289,45,2021
107,7,Nyheim Hines,40,310,1,2,0,36,15,37.5,1,276,57,2021
108,8,Allen Lazard,40,513,8,8,1,42,28,70.0,0,168,60,2021
109,9,DeVante Parker,40,515,2,7,1,42,29,72.5,0,104,73,2021
110,10,Devin Singletary,40,228,1,0,0,19,11,27.5,3,242,50,2021
111,11,Jonathan Taylor,40,360,2,5,1,76,12,30.0,1,406,52,2021
112,12,Ray-Ray McCloud,39,277,0,2,0,24,18,46.2,1,116,66,2021
113,13,Tony Pollard,39,337,0,2,0,32,15,38.5,2,341,47,2021
114,14,Kadarius Toney,39,420,0,5,0,38,21,53.8,0,228,57,2021
115,15,Ameer Abdullah,38,289,1,1,0,23,13,34.2,0,294,53,2021
116,16,Austin Hooper,38,345,3,4,0,34,18,47.4,0,185,62,2021
117,17,Jerry Jeudy,38,467,0,7,1,40,22,57.9,1,185,56,2021
118,18,Zach Pascal,38,384,3,5,1,41,16,42.1,1,121,69,2021
119,19,Allen Robinson,38,410,1,5,0,39,22,57.9,0,101,67,2021
120,20,Nick Westbrook-Ikhine,38,476,4,5,1,46,23,60.5,1,144,57,2021
121,21,Nelson Agholor,37,473,3,9,1,44,23,62.2,0,104,64,2021
122,22,James Conner,37,375,3,5,1,45,18,48.6,0,382,39,2021
123,23,Kenny Golladay,37,521,0,5,0,36,27,73.0,0,119,77,2021
124,24,Christian McCaffrey,37,343,1,4,0,32,21,56.8,0,258,41,2021
125,0,Michael Carter,36,325,0,2,0,23,17,47.2,1,341,55,2021
126,1,Deonte Harty,36,570,3,5,4,72,23,63.9,0,241,59,2021
127,2,Tyler Johnson,36,360,0,4,0,31,14,38.9,0,137,56,2021
128,3,David Njoku,36,475,4,8,2,71,17,47.2,0,247,53,2021
129,4,Sterling Shepard,36,366,1,4,0,37,19,52.8,0,111,53,2021
130,5,Dan Arnold,35,408,0,2,0,28,20,57.1,1,188,53,2021
131,6,Gabe Davis,35,549,6,13,1,49,29,82.9,0,132,63,2021
132,7,Michael Gallup,35,445,2,6,2,41,23,65.7,0,123,62,2021
133,8,Dalvin Cook,34,224,0,1,0,24,9,26.5,0,278,49,2021
134,9,Corey Davis,34,492,4,9,1,53,23,67.6,2,124,59,2021
135,10,AJ Dillon,34,313,2,3,1,50,15,44.1,1,310,37,2021
136,11,Bryan Edwards,34,571,3,11,1,51,26,76.5,1,190,60,2021
137,12,Anthony Firkser,34,291,2,1,0,24,15,44.1,1,111,43,2021
