,concat_index,Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,season_year
0,0,Jonathan Taylor,1811,332,18,14,5,83,107,32.2,3,2021
1,1,Nick Chubb,1259,228,8,12,2,70,61,26.8,2,2021
2,2,Joe Mixon,1205,292,13,6,0,32,60,20.6,1,2021
3,3,Najee Harris,1200,307,7,6,0,37,62,20.2,0,2021
4,4,Dalvin Cook,1159,249,6,9,1,66,57,22.9,3,2021
5,5,Antonio Gibson,1037,258,7,4,0,27,65,25.2,5,2021
6,6,Ezekiel Elliott,1002,237,10,3,1,47,55,23.2,1,2021
7,7,Elijah Mitchell,963,207,5,6,0,39,47,22.7,0,2021
8,8,Derrick Henry,937,219,10,3,2,76,49,22.4,1,2021
9,9,Damien Harris,929,202,15,8,1,64,55,27.2,2,2021
10,10,Melvin Gordon,918,203,8,3,2,70,48,23.6,3,2021
11,11,Austin Ekeler,911,206,12,3,0,28,53,25.7,0,2021
12,12,Javonte Williams,903,203,4,6,1,49,52,25.6,2,2021
13,13,Alvin Kamara,898,240,4,3,0,30,42,17.5,0,2021
14,14,Josh Jacobs,872,217,9,2,0,28,45,20.7,2,2021
15,15,Devin Singletary,870,188,7,6,2,46,44,23.4,2,2021
16,16,David Montgomery,846,225,7,5,1,41,55,24.4,2,2021
17,17,Sony Michel,845,208,4,2,0,39,49,23.6,1,2021
18,18,Leonard Fournette,812,180,8,5,1,47,45,25.0,0,2021
19,19,AJ Dillon,803,187,5,2,0,36,50,26.7,1,2021
20,20,Aaron Jones,799,171,4,5,1,57,37,21.6,1,2021
21,21,Jalen Hurts,784,139,10,7,0,31,56,40.3,4,2021
22,22,Lamar Jackson,767,133,2,5,0,31,48,36.1,3,2021
23,23,James Robinson,767,164,8,4,1,58,41,25.0,2,2021
24,24,Josh Allen,763,122,6,9,0,34,54,44.3,5,2021
25,0,Miles Sanders,754,137,0,7,0,38,33,24.1,1,2021
26,1,James Conner,752,202,15,3,0,35,53,26.2,2,2021
27,2,Rashaad Penny,749,119,6,11,2,62,28,23.5,0,2021
28,3,Tony Pollard,719,130,2,4,1,58,35,26.9,0,2021
29,4,Darrell Henderson,688,149,5,1,0,29,39,26.2,0,2021
30,5,Michael Carter,639,147,4,3,1,55,29,19.7,0,2021
31,6,D'Andre Swift,617,151,5,3,1,57,28,18.5,0,2021
32,7,Myles Gaskin,612,173,3,2,0,30,25,14.4,2,2021
33,8,Chuba Hubbard,612,172,5,3,0,26,36,20.9,1,2021
34,9,Cordarrelle Patterson,610,153,6,2,0,39,29,19.0,2,2021
35,10,Rhamondre Stevenson,606,133,5,1,0,21,33,24.8,1,2021
36,11,Jamaal Williams,601,153,3,1,0,20,42,27.4,1,2021
37,12,Saquon Barkley,593,162,2,3,1,41,27,16.7,1,2021
38,13,Devontae Booker,593,145,2,3,0,31,31,21.4,0,2021
39,14,Chase Edmonds,592,116,2,3,2,54,32,27.6,0,2021
40,15,Devonta Freeman,576,133,5,4,0,32,31,23.3,0,2021
41,16,D'Onta Foreman,563,133,3,4,0,35,22,16.5,2,2021
42,17,Darrel Williams,558,144,6,1,0,21,40,27.8,0,2021
43,18,Mark Ingram,554,160,2,2,0,28,22,13.8,1,2021
44,19,D'Ernest Johnson,534,100,3,4,0,30,24,24.0,0,2021
45,20,Clyde Edwards-Helaire,517,119,4,0,0,17,21,17.6,2,2021
46,21,Mike Davis,503,138,3,0,0,18,21,15.2,2,2021
47,22,Latavius Murray,501,119,6,3,1,46,36,30.2,0,2021
48,23,Alexander Mattison,491,134,3,2,1,48,28,20.9,1,2021
49,24,Christian McCaffrey,442,99,1,0,0,18,20,20.2,1,2021
50,0,Khalil Herbert,433,103,2,4,0,29,24,23.3,0,2021
51,1,Ronald Jones,428,101,4,1,0,30,25,24.8,2,2021
52,2,Rex Burkhead,427,122,3,2,0,36,30,24.6,1,2021
53,3,Kyler Murray,423,88,5,1,1,57,25,28.4,11,2021
54,4,Justin Fields,420,72,2,3,0,23,22,30.6,6,2021
55,5,Alex Collins,411,108,2,2,0,25,22,20.4,0,2021
56,6,Jordan Howard,406,86,3,1,0,25,24,27.9,0,2021
57,7,Kareem Hunt,386,78,5,2,0,33,22,28.2,0,2021
58,8,Patrick Mahomes,381,66,2,4,0,32,25,37.9,3,2021
59,9,Taysom Hill,374,70,5,3,1,44,26,37.1,1,2021
60,10,Boston Scott,373,87,7,2,0,23,24,27.6,1,2021
61,11,Deebo Samuel,365,59,8,5,1,49,21,35.6,0,2021
62,12,Justin Jackson,364,68,2,2,1,75,18,26.5,1,2021
63,13,Tevin Coleman,356,84,0,1,0,20,19,22.6,0,2021
64,14,Dontrell Hilliard,350,56,2,2,1,68,15,26.8,1,2021
65,15,Zack Moss,345,96,4,0,0,17,22,22.9,0,2021
66,16,Trevor Lawrence,334,73,2,1,0,26,22,30.1,2,2021
67,17,Duke Johnson,330,71,3,1,0,27,18,25.4,0,2021
68,18,Taylor Heinicke,313,60,1,2,0,38,20,33.3,4,2021
69,19,Justin Herbert,302,63,3,1,0,36,28,44.4,0,2021
70,20,Daniel Jones,298,62,2,2,1,46,16,25.8,2,2021
71,21,Tyler Huntley,294,47,2,1,0,21,22,46.8,1,2021
72,22,Jeff Wilson,294,79,2,0,0,17,19,24.0,1,2021
73,23,Kenneth Gainwell,291,68,5,0,0,18,19,27.9,1,2021
74,24,Nyheim Hines,276,56,2,2,0,34,15,26.8,0,2021
75,0,Ryan Tannehill,270,55,7,2,0,28,33,60.0,5,2021
76,1,Jaret Patterson,266,68,2,0,0,13,15,22.1,1,2021
77,2,Derrick Gore,256,51,2,2,1,51,12,23.5,0,2021
78,3,Kenyan Drake,254,63,2,1,0,21,15,23.8,0,2021
79,4,Carlos Hyde,253,72,1,0,0,18,14,19.4,2,2021
80,5,Phillip Lindsay,249,88,1,1,0,35,11,12.5,0,2021
81,6,Samaje Perine,246,55,1,2,1,46,11,20.0,0,2021
82,7,Ty Johnson,238,61,2,2,0,24,13,21.3,1,2021
83,8,Chris Carson,232,54,3,2,0,33,11,20.4,1,2021
84,9,Craig Reynolds,230,55,0,2,0,35,11,20.0,0,2021
85,10,David Johnson,228,67,0,0,0,15,7,10.4,1,2021
86,11,Cam Newton,227,47,5,2,0,33,20,42.6,5,2021
87,12,Brandon Bolden,226,44,1,2,0,24,12,27.3,1,2021
88,13,Sam Darnold,222,48,5,2,0,30,21,43.8,2,2021
89,14,Carson Wentz,215,57,1,0,0,18,21,36.8,4,2021
90,15,Peyton Barber,212,55,2,1,0,27,12,21.8,2,2021
91,16,J.D. McKissic,212,48,2,0,0,15,14,29.2,0,2021
92,17,Ty'Son Williams,185,35,1,2,0,35,8,22.9,1,2021
93,18,Zach Wilson,185,29,4,3,1,52,10,34.5,0,2021
94,19,Russell Wilson,183,43,2,0,0,17,17,39.5,2,2021
95,20,Ke'Shawn Vaughn,180,36,2,1,1,55,9,25.0,0,2021
96,21,Travis Homer,177,21,1,2,1,73,7,33.3,0,2021
97,22,Royce Freeman,169,56,0,0,0,13,8,14.3,0,2021
98,23,Trey Lance,168,38,1,0,0,15,8,21.0,0,2021
99,24,Trey Sermon,167,41,1,0,0,16,9,22.0,0,2021
100,0,Ameer Abdullah,166,51,0,0,0,15,8,15.7,0,2021
101,1,Jameis Winston,166,32,1,1,0,20,17,53.1,0,2021
102,2,Damien Williams,164,40,2,1,0,23,11,27.5,0,2021
