,concat_index,Player,Comb,Asst,Solo,Sck,season_year
0,0,Foye Oluokun,192,90,88,2.0,2021
1,1,Jordyn Brooks,184,75,83,1.0,2021
2,2,Bobby Wagner,170,77,78,1.0,2021
3,3,C.J. Mosley,168,65,83,2.0,2021
4,4,Roquan Smith,163,68,85,3.0,2021
5,5,Denzel Perryman,154,52,94,0.0,2021
6,6,De'Vondre Campbell,146,44,88,2.0,2021
7,7,Kyzir White,144,54,66,1.0,2021
8,8,Eric Kendricks,143,62,63,5.0,2021
9,9,Cole Holcomb,142,59,66,1.0,2021
10,10,Deion Jones,137,50,73,2.0,2021
11,11,Alex Singleton,137,56,73,0.0,2021
12,12,Fred Warner,137,58,71,0.5,2021
13,13,Bobby Okereke,132,43,66,1.0,2021
14,14,Tae Crowder,130,66,53,0.0,2021
15,15,T.J. Edwards,130,66,59,1.0,2021
16,16,Devin White,128,41,81,3.5,2021
17,17,Minkah Fitzpatrick,124,40,76,0.0,2021
18,18,Shaquille Leonard,122,47,58,0.0,2021
19,19,Jalen Thompson,121,42,70,0.0,2021
20,20,Derwin James,118,43,70,2.0,2021
21,21,Logan Ryan,117,40,65,1.0,2021
22,22,Johnathan Abram,116,52,55,0.0,2021
23,23,Jordan Hicks,116,41,62,4.0,2021
24,24,Harrison Smith,114,31,68,3.0,2021
25,0,Jordan Fuller,113,50,58,0.0,2021
26,1,Anthony Walker,113,44,59,1.0,2021
27,2,Nick Bolton,112,42,57,0.0,2021
28,3,Joe Schobert,112,42,57,0.0,2021
29,4,Quincy Williams,110,37,64,2.0,2021
30,5,Ja'Whaun Bentley,109,41,51,1.0,2021
31,6,Tremaine Edmunds,108,38,52,0.0,2021
32,7,Kamu Grugier-Hill,108,38,58,3.0,2021
33,8,Myles Jack,108,46,51,0.0,2021
34,9,Tracy Walker III,108,34,63,1.0,2021
35,10,Xavier Woods,108,36,65,1.0,2021
36,11,Jeremy Chinn,107,32,70,1.0,2021
37,12,Damien Wilson,106,47,55,3.0,2021
38,13,Demario Davis,105,35,61,3.0,2021
39,14,Isaiah Simmons,105,35,65,1.5,2021
40,15,Shaq Thompson,104,39,58,2.0,2021
41,16,Azeez Al-Shaair,102,44,51,2.0,2021
42,17,Kenny Moore II,102,20,73,1.0,2021
43,18,Jayron Kearse,101,34,60,1.0,2021
44,19,Logan Wilson,100,43,50,1.0,2021
45,20,Nasir Adderley,99,30,64,0.5,2021
46,21,Kamren Curl,99,37,57,1.0,2021
47,22,Budda Baker,98,35,60,2.0,2021
48,23,Cory Littleton,98,47,46,0.5,2021
49,24,Patrick Queen,98,30,61,2.0,2021
50,0,Vonn Bell,97,33,62,0.5,2021
51,1,Lavonte David,97,34,55,2.0,2021
52,2,Quandre Diggs,94,28,54,0.0,2021
53,3,Taylor Rapp,94,30,51,1.5,2021
54,4,Adrian Amos,93,18,68,0.0,2021
55,5,Zach Cunningham,93,42,44,0.0,2021
56,6,Will Harris,93,31,57,0.5,2021
57,7,Desmond King,93,25,63,0.0,2021
58,8,Christian Kirksey,93,38,37,0.0,2021
59,9,Xavier McKinney,93,34,54,0.0,2021
60,10,Jordan Poyer,93,27,58,3.0,2021
61,11,Jerome Baker,92,30,54,5.5,2021
62,12,Kyle Dugger,92,22,56,0.0,2021
63,13,Adrian Phillips,92,36,41,0.0,2021
64,14,Germaine Pratt,91,34,51,0.5,2021
65,15,Troy Reeder,91,43,41,2.0,2021
66,16,Terrell Edmunds,89,26,49,1.0,2021
67,17,Cameron Heyward,89,36,39,10.0,2021
68,18,Christian Wilkins,89,40,35,4.5,2021
69,19,Jessie Bates,88,21,62,0.0,2021
70,20,Kevin Byard,88,31,42,1.0,2021
71,21,Jermaine Carter,88,50,36,0.0,2021
72,22,Kareem Jackson,88,26,55,1.0,2021
73,23,Antoine Winfield Jr.,88,26,59,2.0,2021
74,24,Andrew Wingard,88,31,54,1.0,2021
75,0,Jamal Adams,87,31,47,0.0,2021
76,1,Alec Ogletree,87,32,51,0.0,2021
77,2,Matt Milano,86,29,45,3.0,2021
78,3,Tavierre Thomas,86,35,43,0.0,2021
79,4,Nick Vigil,85,40,39,1.0,2021
80,5,Aaron Donald,84,46,30,12.5,2021
81,6,Micah Parsons,84,20,59,13.0,2021
82,7,Elandon Roberts,83,41,36,1.0,2021
83,8,Jalen Reeves-Maybin,82,29,47,0.0,2021
84,9,Krys Barnes,81,23,53,1.0,2021
85,10,Landon Collins,81,30,46,3.0,2021
86,11,A.J. Terrell,81,29,51,1.0,2021
87,12,Leonard Williams,81,47,27,6.5,2021
88,13,Chuck Clark,80,31,45,1.0,2021
89,14,Anthony Hitchens,80,39,37,0.0,2021
90,15,Justin Simmons,80,20,49,1.5,2021
91,16,Bryce Hall,79,13,58,0.5,2021
92,17,Malcolm Jenkins,79,26,49,1.0,2021
93,18,Brandon Jones,79,31,40,5.0,2021
94,19,Alex Anzalone,78,29,44,1.0,2021
95,20,D.J. Reed,78,16,48,0.0,2021
96,21,Brandon Stephens,78,29,46,0.0,2021
97,22,Kendall Fuller,77,13,58,1.0,2021
98,23,Jalen Ramsey,77,15,52,0.0,2021
99,24,Leighton Vander Esch,77,29,43,1.0,2021
100,0,Jimmie Ward,77,26,44,0.0,2021
101,1,Josh Bynes,76,26,38,2.0,2021
102,2,Jamin Davis,76,28,40,1.0,2021
103,3,Eddie Jackson,76,22,49,0.0,2021
104,4,Taron Johnson,76,23,42,3.0,2021
